timestamp,symbol,price,direction,strategy,rsi,ema,volume,result,target_price,target_range
2025-08-24 12:14:47,OM,0.23725,down,CHoCH+volume,42.89276807980044,0.2380117986309988,804307.3,"AI ошибка: Unknown datetime string format, unable to parse: OM, at position 0",0.237851,"[np.float64(0.236649), np.float64(0.236047)]"
2025-08-24 12:14:48,BID,0.09559,up,CHoCH+volume,94.94535519125671,0.09276471818743408,6678287.0,"AI ошибка: Unknown datetime string format, unable to parse: BID, at position 0",0.094233,"[np.float64(0.096947), np.float64(0.098304)]"
2025-08-24 12:14:58,DIA,0.6697,down,CHoCH+volume,36.690647482014285,0.6716499721239925,57392.0,"AI ошибка: Unknown datetime string format, unable to parse: DIA, at position 0",0.671443,"[np.float64(0.667957), np.float64(0.666214)]"
2025-08-24 12:14:59,ETHFI,1.2269,up,CHoCH+volume,52.51141552511438,1.2281169933360856,279360.2,"AI ошибка: Unknown datetime string format, unable to parse: ETHFI, at position 0",1.223486,"[np.float64(1.230314), np.float64(1.233729)]"
2025-08-24 12:15:01,ENA,0.7026,down,CHoCH+volume,25.517241379310846,0.706060954050375,3845303.0,"AI ошибка: Unknown datetime string format, unable to parse: ENA, at position 0",0.704536,"[np.float64(0.700664), np.float64(0.698729)]"
2025-08-24 12:16:59,PENGU,0.034921,down,CHoCH+volume,19.298245614035523,0.03512863766227159,23272487.0,"AI ошибка: Unknown datetime string format, unable to parse: PENGU, at position 0",0.035027,"[np.float64(0.034815), np.float64(0.034709)]"
2025-08-24 12:17:28,SPELL,0.0005326,up,CHoCH+volume,60.80402010050276,0.0005290790568007498,434737797.0,"AI ошибка: Unknown datetime string format, unable to parse: SPELL, at position 0",0.00053,"[np.float64(0.000536), np.float64(0.000539)]"
2025-08-24 12:17:45,HBAR,0.24709,down,CHoCH+volume,38.8613861386141,0.24762331431311047,1044830.0,"AI ошибка: Unknown datetime string format, unable to parse: HBAR, at position 0",0.247625,"[np.float64(0.246555), np.float64(0.24602)]"
2025-08-24 12:18:10,MKR,1581.4,up,CHoCH+volume,60.58201058201078,1575.958550910193,119.606,"AI ошибка: Unknown datetime string format, unable to parse: MKR, at position 0",1576.314286,"[np.float64(1586.485714), np.float64(1591.571429)]"
2025-08-24 12:18:12,BTCDOM,3778.9,up,CHoCH+volume,45.27559055118078,3776.9955650208735,5.055,"AI ошибка: Unknown datetime string format, unable to parse: BTCDOM, at position 0",3775.1,"[np.float64(3782.7), np.float64(3786.5)]"
2025-08-24 12:18:22,BABY,0.05273,down,CHoCH+volume,40.56603773584898,0.05278541669402458,378181.0,"AI ошибка: Unknown datetime string format, unable to parse: BABY, at position 0",0.052868,"[np.float64(0.052592), np.float64(0.052454)]"
2025-08-24 12:18:36,SSV,9.799,up,CHoCH+volume,65.92178770949727,9.76800434519911,5245.92,"AI ошибка: Unknown datetime string format, unable to parse: SSV, at position 0",9.773643,"[np.float64(9.824357), np.float64(9.849714)]"
2025-08-24 12:18:39,QTUM,2.549,up,CHoCH+volume,74.86910994764405,2.512532286399258,203775.0,"AI ошибка: Unknown datetime string format, unable to parse: QTUM, at position 0",2.528714,"[np.float64(2.569286), np.float64(2.589571)]"
2025-08-24 12:18:50,HYPER,0.3187,down,CHoCH+volume,29.50819672131162,0.31973143644687585,243029.0,"AI ошибка: Unknown datetime string format, unable to parse: HYPER, at position 0",0.319664,"[np.float64(0.317736), np.float64(0.316771)]"
2025-08-24 12:18:53,ESPORTS,0.0885,down,CHoCH+volume,30.769230769230475,0.08907539326760441,128275.0,"AI ошибка: Unknown datetime string format, unable to parse: ESPORTS, at position 0",0.088836,"[np.float64(0.088164), np.float64(0.087829)]"
